Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Demand-driven evaluation of collection attributes","Eva Magnusson; Torbjörn Ekman; Görel Hedin","Department of Computer Science, Lund University, Lund, Sweden; Computing Laboratory, Oxford University, Oxford, UK; Department of Computer Science, Lund University, Lund, Sweden","Automated Software Engineering","","","","","","","In order to make attribute grammars useful for complicated analysis tasks, a number of extensions to the original Knuth formalism have been suggested. One such extension is the collection attribute mechanism, which allows the value of an attribute to be defined as a combination of contributions from distant nodes in the abstract syntax tree. Another extension that has proven useful is circular attributes, evaluated using fixed-point iteration. In this paper we show how collection attributes and the combined formalism, circular collection attributes, have been implemented in our declarative meta programming system JastAdd, and how they can be used for a variety of applications including devirtualization analysis, metrics and flow analysis. A number of evaluation algorithms are introduced and compared for applicability and efficiency. The key design criterion for our algorithms is that they work well with demand evaluation, i.e., defined properties are computed only if they are actually needed for a particular program. We show that the best algorithms work well on large practical problems including the analysis of large Java programs.","","","https://doi.org/10.1007/s10515-009-0046-z","","https://link.springer.com/content/pdf/10.1007/s10515-009-0046-z.pdf","Attribute grammars;Collection attributes;Circular attributes;Fixed-point computations;Source code analysis","Attribute grammars;Collection attributes;Circular attributes;Fixed-point computations;Source code analysis","","","","7","121","","","","","",""
"An integrated crosscutting concern migration strategy and its semi-automated application to JHotDraw","Marius Marin; Arie van Deursen; Leon Moonen; Robin van der Rijst","Technology Architecture, Accenture, Gustav Mahlerplein 90, 1082 MA, Amsterdam, The Netherlands; Delft University of Technology, Delft, The Netherlands; Simula Research Laboratory, Lysaker, Norway; Delft University of Technology, Delft, The Netherlands","Automated Software Engineering","","","","","","","In this paper we propose a systematic strategy for migrating crosscutting concerns in existing object-oriented systems to aspect-oriented programming solutions. The proposed strategy consists of four steps: mining, exploration, documentation and refactoring of crosscutting concerns. We discuss in detail a new approach to refactoring to aspect-oriented programming that is fully integrated with our strategy, and apply the whole strategy to an object-oriented system, namely the JHotDraw framework.","","","https://doi.org/10.1007/s10515-009-0051-2","","https://link.springer.com/content/pdf/10.1007/s10515-009-0051-2.pdf","Program analysis;Code refactoring;Cross cutting concerns;Concern modeling;Aspect-oriented programming;Reverse engineering;Software engineering","Program analysis;Code refactoring;Cross cutting concerns;Concern modeling;Aspect-oriented programming;Reverse engineering;Software engineering","","","","9","552","","","","","",""
"Precise slicing of concurrent programs","Dennis Giffhorn; Christian Hammer","Universität Karlsruhe (TH), Karlsruhe, Germany; Universität Karlsruhe (TH), Karlsruhe, Germany","Automated Software Engineering","","","","","","","While there exist efficient algorithms to slice sequential programs precisely, there are only two algorithms for precise slicing of concurrent interprocedural programs with recursive procedures (Krinke in Proc. ESEC/FSE’03, pp. 178–187, 2003; Nanda and Ramesh in ACM Toplas. 28(6):1088–1144, 2006). We present an empirical evaluation of both algorithms for Java. We demonstrate that both algorithms provide the same precision up to the model of concurrency in use and show that the concurrency model has strong impact on slice precision and computation costs. Furthermore, we extend both algorithms to support dynamic thread creation both in loops and recursion—a feature that the original algorithms could not fully handle. The worst case complexity of the algorithms being exponential, we developed several optimizations and compared these with each other and with algorithms that trade precision for speed. Finally, we show that one algorithm may produce incorrect slices and present a remedy.","","","https://doi.org/10.1007/s10515-009-0048-x","","https://link.springer.com/content/pdf/10.1007/s10515-009-0048-x.pdf","Slicing;Program analysis;Concurrency;Threads","Slicing;Program analysis;Concurrency;Threads","","","","13","181","","","","","",""
"Parameter reference immutability: formal definition, inference tool, and comparison","Shay Artzi; Adam Kieżun; Jaime Quinonez; Michael D. Ernst","MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA; MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA; MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA; MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA","Automated Software Engineering","","","","","","","Knowing which method parameters may be mutated during a method’s execution is useful for many software engineering tasks. A parameter reference is immutable if it cannot be used to modify the state of its referent object during the method’s execution. We formally define this notion, in a core object-oriented language. Having the formal definition enables determining correctness and accuracy of tools approximating this definition and unbiased comparison of analyses and tools that approximate similar definitions.","","","https://doi.org/10.1007/s10515-008-0043-7","","https://link.springer.com/content/pdf/10.1007/s10515-008-0043-7.pdf","Readonly;Reference immutability;Definition;Combined analysis","Readonly;Reference immutability;Definition;Combined analysis","","","","7","111","","","","","",""
"Reasoning about programs via operational semantics: requirements for a support system","John R. D. Hughes; Cliff B. Jones","School of Computing Science, Newcastle University, Newcastle, UK; School of Computing Science, Newcastle University, Newcastle, UK","Automated Software Engineering","","","","","","","Reasoning about programs using “axioms” is well established; in this paper we argue that reasoning about a program directly in terms of Structural Operational Semantic (SOS) language descriptions is a viable addition and that this is anyway necessary for the vast majority of languages where there is nothing like a full axiomatic description. Using an SOS description is likely to require detailed proofs whose acceptability to users will depend on suitable support systems. The paper presents a very simple example to illustrate how we can reason about (in fact, develop) a program to prove that it satisfies a specification. The main contribution is to use this trivial example to point out issues in designing an interactive proof system for constructing such proofs.","","","https://doi.org/10.1007/s10515-008-0036-6","","https://link.springer.com/content/pdf/10.1007/s10515-008-0036-6.pdf","Structural operational semantics;Proofs about programs;Tool support","Structural operational semantics;Proofs about programs;Tool support","","","","1","73","","","","","",""
"Automated software engineering: supporting understanding","Michael Jackson","The Open University, Milton Keynes, MK7 6BJ, UK","Automated Software Engineering","","","","","","","The most important role for automation in software engineering is the support of human understanding. Some aspects of understanding and how it can be supported are discussed.","","","https://doi.org/10.1007/s10515-008-0034-8","","https://link.springer.com/content/pdf/10.1007/s10515-008-0034-8.pdf","Complexity;Description;Fragmentation;Manipulation;Automation;Mechanisation","Complexity;Description;Fragmentation;Manipulation;Automation;Mechanisation","","","","7","148","","","","","",""
"What is software?","Leon J. Osterweil","Laboratory for Advanced Software Engineering Research, Computer Science Department, University of Massachusetts, Amherst, MA, 01003, USA","Automated Software Engineering","","","","","","","This paper suggests that there may be other types of software besides computer software. The paper identifies parallels between computer software and such other societal artifacts as laws, processes, recipes, and instructions (e.g. for driving and kitbuilding), and suggests that there are similar parallels in the ways in which these artifacts are built and evolved. The paper suggests that technologies for supporting the automation of computer software development and evolution might facilitate work in these other domains. It also suggests that successful approaches in these other domains could have useful and important application to the domain of computer software. It is further suggested that it might be important for discussions such as these to lead to a deeper understanding of the nature of “software”.","","","https://doi.org/10.1007/s10515-008-0031-y","","https://link.springer.com/content/pdf/10.1007/s10515-008-0031-y.pdf","Software engineering;Software process;Software development","Software engineering;Software process;Software development","","","","3","426","","","","","",""
"Personal reflections on automation, programming culture, and model-based software engineering","Bran Selic","Malina Software Corp., 10 Blueridge Court, Nepean, Ontario, Canada, K2J 2J3","Automated Software Engineering","","","","","","","Model-based software engineering (MBSE) is an approach to software development characterized in part by significantly greater levels of automation when compared to more traditional development methods. Computer-based tools play a fundamental role in a number of key aspects of development, including authoring support (many MBSE languages are predominantly visual), automatic or semi-automatic verification, automated translation of specifications into corresponding programs, and so on.","","","https://doi.org/10.1007/s10515-008-0035-7","","https://link.springer.com/content/pdf/10.1007/s10515-008-0035-7.pdf","Model-driven development;Computer-aided software engineering;Psychology of programming;Usability;Computer automation;Software tools","Model-driven development;Computer-aided software engineering;Psychology of programming;Usability;Computer automation;Software tools","","","","26","369","","","","","",""
"Model driven code checking","Gerard J. Holzmann; Rajeev Joshi; Alex Groce","Laboratory for Reliable Software, Jet Propulsion Laboratory, 4800 Oak Grove Drive, Pasadena, CA, 91109, USA; Laboratory for Reliable Software, Jet Propulsion Laboratory, 4800 Oak Grove Drive, Pasadena, CA, 91109, USA; Laboratory for Reliable Software, Jet Propulsion Laboratory, 4800 Oak Grove Drive, Pasadena, CA, 91109, USA","Automated Software Engineering","","","","","","","Model checkers were originally developed to support the formal verification of high-level design models of distributed system designs. Over the years, they have become unmatched in precision and performance in this domain. Research in model checking has meanwhile moved towards methods that allow us to reason also about implementation level artifacts (e.g., software code) directly, instead of hand-crafted representations of those artifacts. This does not mean that there is no longer a place for the use of high-level models, but it does mean that such models are used in a different way today. In the approach that we describe here, high-level models are used to represent the environment for which the code is to be verified, but not the application itself. The code of the application is now executed as is by the model checker, while using powerful forms of abstraction on-the-fly to build the abstract state space that guides the verification process. This model-driven code checking method allows us to verify implementation level code efficiently for high-level safety and liveness properties. In this paper, we give an overview of the methodology that supports this new paradigm of code verification.","","","https://doi.org/10.1007/s10515-008-0033-9","","https://link.springer.com/content/pdf/10.1007/s10515-008-0033-9.pdf","Software verification;Logic model checking;Spin model checker;Embedded C code","Software verification;Logic model checking;Spin model checker;Embedded C code","","","","21","118","","","","","",""
"A journey to highly dynamic, self-adaptive service-based applications","Elisabetta Di Nitto; Carlo Ghezzi; Andreas Metzger; Mike Papazoglou; Klaus Pohl","Politecnico di Milano, DEI, Piazza Leonardo da Vinci, 32, 20133, Milano, Italy; Politecnico di Milano, DEI, Piazza Leonardo da Vinci, 32, 20133, Milano, Italy; University of Duisburg-Essen, SSE, Schützenbahn 70, 45117, Essen, Germany; Tilburg University, INFOLAB, PO Box 90153, 5000 LE, Tilburg, The Netherlands; University of Duisburg-Essen, SSE, Schützenbahn 70, 45117, Essen, Germany","Automated Software Engineering","","","","","","","Future software systems will operate in a highly dynamic world. Systems will need to operate correctly despite of unespected changes in factors such as environmental conditions, user requirements, technology, legal regulations, and market opportunities. They will have to operate in a constantly evolving environment that includes people, content, electronic devices, and legacy systems. They will thus need the ability to continuously adapt themselves in an automated manner to react to those changes. To realize dynamic, self-adaptive systems, the service concept has emerged as a suitable abstraction mechanism. Together with the concept of the service-oriented architecture (SOA), this led to the development of technologies, standards, and methods to build service-based applications by flexibly aggregating individual services. This article discusses how those concepts came to be by taking two complementary viewpoints. On the one hand, it evaluates the progress in software technologies and methodologies that led to the service concept and SOA. On the other hand, it discusses how the evolution of the requirements, and in particular business goals, influenced the progress towards highly dynamic self-adaptive systems. Finally, based on a discussion of the current state of the art, this article points out the possible future evolution of the field.","","","https://doi.org/10.1007/s10515-008-0032-x","","https://link.springer.com/content/pdf/10.1007/s10515-008-0032-x.pdf","Service-oriented computing;Services;Adaptive systems;Self-adaptation","Service-oriented computing;Services;Adaptive systems;Self-adaptation","","","","156","1372","","","","","",""
"The socio-economics of software architecture","Alistair Sutcliffe","Manchester Business School, University of Manchester, Booth Street, Manchester, M15 6PB, UK","Automated Software Engineering","","","","","","","The paper argues that strategic decisions about software architectures need to be based on a social and economic analysis of which designs are likely to succeed and become accepted by users. Software architecture is increasingly having to take account of customisation, reuse, end-user development and system configuration. The relationship between architecture and end users’ requirements is investigated, to propose a cost-benefit framework to support reasoning about architectural choices from the perspective of end users. The relationships between architectural decisions and non-functional requirements is reviewed, and the impact on architecture is assessed using a case study of developing configurable, semi-intelligent software to support medical researchers in e-science domains.","","","https://doi.org/10.1007/s10515-008-0029-5","","https://link.springer.com/content/pdf/10.1007/s10515-008-0029-5.pdf","End-user development;Requirements;Architecture;Cost-benefit analysis","End-user development;Requirements;Architecture;Cost-benefit analysis","","","","3","169","","","","","",""
"Rethinking software design in participation cultures","Gerhard Fischer","Center for Lifelong Learning and Design, University of Colorado, Boulder, USA","Automated Software Engineering","","","","","","","The research activities in software engineering at the Center for LifeLong Learning & Design (L3D) in the past have been grounded in the basic assumption that important aspects of software engineering are best understood as human-centered design activities. Some of the major objectives were to support designers with domain-oriented design environments, allowing them to interact at the problem domain level and to frame activities and artifacts based on an evolutionary approach.","","","https://doi.org/10.1007/s10515-008-0030-z","","https://link.springer.com/content/pdf/10.1007/s10515-008-0030-z.pdf","Software design;Domain-oriented design environments;Human-problem domain interaction;Meta-design;Distribution and diversity;Networked information economy;Participation cultures","Software design;Domain-oriented design environments;Human-problem domain interaction;Meta-design;Distribution and diversity;Networked information economy;Participation cultures","","","","6","125","","","","","",""
"Scalable satisfiability checking and test data generation from modeling diagrams","Yannis Smaragdakis; Christoph Csallner; Ranjith Subramanian","Computer Science, University of Massachusetts, Amherst, USA; Computer Science and Engineering, University of Texas at Arlington, Arlington, USA; TheFind.com, Mountain View, USA","Automated Software Engineering","","","","","","","We explore the automatic generation of test data that respect constraints expressed in the Object-Role Modeling (ORM) language. ORM is a popular conceptual modeling language, primarily targeting database applications, with significant uses in practice. The general problem of even checking whether an ORM diagram is satisfiable is quite hard: restricted forms are easily NP-hard and the problem is undecidable for some expressive formulations of ORM. Brute-force mapping to input for constraint and SAT solvers does not scale: state-of-the-art solvers fail to find data to satisfy uniqueness and mandatory constraints in realistic time even for small examples. We instead define a restricted subset of ORM that allows efficient reasoning yet contains most constraints overwhelmingly used in practice. We show that the problem of deciding whether these constraints are consistent (i.e., whether we can generate appropriate test data) is solvable in polynomial time, and we produce a highly efficient (interactive speed) checker. Additionally, we analyze over 160 ORM diagrams that capture data models from industrial practice and demonstrate that our subset of ORM is expressive enough to handle their vast majority.","","","https://doi.org/10.1007/s10515-008-0044-6","","https://link.springer.com/content/pdf/10.1007/s10515-008-0044-6.pdf","ORM;Modeling;Testing;Databases;NP-hardness;ORM-;Test data generation","ORM;Modeling;Testing;Databases;NP-hardness;ORM-;Test data generation","","","","7","100","","","","","",""
