Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Automatically detecting the quality of the query and its implications in IR-based concept location","Sonia Haiduc","Department of Computer Science, Wayne State University, Detroit, MI, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","637","640","Concept location is an essential task during software maintenance and in particular program comprehension activities. One of the approaches to this task is based on leveraging the lexical information found in the source code by means of Information Retrieval techniques. All IR-based approaches to concept location are highly dependent on the queries written by the users. An IR approach, even though good on average, might fail when the input query is poor. Currently there is no way to tell when a query leads to poor results for IR-based concept location, unless a considerable effort is put into analyzing the results after the fact. We propose an approach based on recent advances in the field of IR research, which aims at automatically determining the difficulty a query poses to an IR-based concept location technique. We plan to evaluate several models and relate them to IR performance metrics.","","","10.1109/ASE.2011.6100144","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100144","","Retrieval models and ranking","","","","1","93","","","","","",""
"A model checking framework for hierarchical systems","Truong Khanh Nguyen; Jun Sun; Yang Liu; Jin Song Dong","School of Computing, National University of Singapore, Singapore; Singapore University of Technology and Design, Singapore; School of Computing, National University of Singapore, Singapore; School of Computing, National University of Singapore, Singapore","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","633","636","BDD-based symbolic model checking is capable of verifying systems with a large number of states. In this work, we report an extensible framework to facilitate symbolic encoding and checking of hierarchical systems. Firstly, a novel library of symbolic encoding functions for compositional operators (e.g., parallel composition, sequential composition, choice operator, etc.) are developed so that users can apply symbolic model checking techniques to hierarchical systems with little knowledge of symbolic encoding techniques (like BDD or CUDD). Secondly, as the library is language-independent, we build an extensible framework with various symbolic model checking algorithms so that the library can be easily applied to encode and verify different modeling languages. Lastly, the applicability and scalability of our framework are demonstrated by applying the framework in the development of symbolic model checkers for three modeling languages as well as a comparison with the NuSMV model checker.","","","10.1109/ASE.2011.6100143","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100143","","Model checking","","","","3","77","","","","","",""
"The Capture Calculus Toolset","Robert J. Hall","AT&T Labs Research, Florham Park, NJ, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","628","632","Distributed embedded systems, such as multi-player smartphone games, training instrumentation systems, and smart homes, naturally have complex requirements. These are difficult to elicit, represent, validate, and verify. For high confidence, one demands that the represented requirements reflect realistic uses of the system; however, such uses, often representing human actions in complex environments, can have hundreds to thousands of steps and be impractical to elicit and manage using only declarative or intensional (computed) representations. Non-functional requirements like scalability increase this complexity further. In this paper, I show how one can bootstrap requirements using data captured from initial prototypes deployed in small scale real world tests. Using such captures as seeds, I show how a calculus of transformations on captures, from captures to scenarios, among scenarios, and from scenarios back to captures can be used in several requirements engineering tasks. I describe a novel ecosystem of tools and transformations that implement this capture calculus and illustrate its use on data obtained from the domain of multi-player outdoor smartphone games.","","","10.1109/ASE.2011.6100142","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100142","","","","","","0","47","","","","","",""
"Guided test visualization: Making sense of errors in concurrent programs","Saint Wesonga; Eric G. Mercer; Neha Rungta","Brigham Young University, USA; Brigham Young University, USA; NASA Ames Research Center, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","624","627","This paper describes a tool to help debug error traces found by the Java Pathfinder model checker in concurrent Java programs. It does this by abstracting out thread interactions and program locations that are not obviously pertinent to the error through control flow or data dependence. The tool then iteratively refines the abstraction by adding thread interactions at critical locations until the error is reachable. The tool visualizes the entire process and enables the user to systematically analyze each abstraction and execution. Such an approach explicitly identifies specific context switch locations and thread interactions needed to debug a concurrent error trace in small to moderate programs that can be managed by the Java Pathfinder Tool.","","","10.1109/ASE.2011.6100141","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100141","","Software testing and debugging","","","","0","64","","","","","",""
"Generating realistic test models for model processing tools","Pit Pietsch; Hamed Shariat Yazdi; Udo Kelter","Software Engineering Group, University of Siegen, Germany; Software Engineering Group, University of Siegen, Germany; Software Engineering Group, University of Siegen, Germany","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","620","623","Test models are needed to evaluate and benchmark algorithms and tools in model driven development. Most model generators randomly apply graph operations on graph representations of models. This approach leads to test models of poor quality. Some approaches do not guarantee the basic syntactic correctness of the created models. Even if so, it is almost impossible to guarantee, or even control, the creation of complex structures, e.g. a subgraph which implements an association between two classes. Such a subgraph consists of an association node, two association end nodes, and several edges, and is normally created by one user command. This paper presents the SiDiff Model Generator, which can generate models, or sets of models, which are syntactically correct, contain complex structures, and exhibit defined statistical characteristics.","","","10.1109/ASE.2011.6100140","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100140","","","","","","2","55","","","","","",""
"jCT: A Java Code Tomograph","Markus Lumpe; Samiran Mahmud; Olga Goloshchapova","Faculty of Information & Communication Technologies, Swinburne University of Technology, Hawthorn, AUSTRALIA; Faculty of Information & Communication Technologies, Swinburne University of Technology, Hawthorn, AUSTRALIA; Faculty of Information & Communication Technologies, Swinburne University of Technology, Hawthorn, AUSTRALIA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","616","619","We are concerned with analyzing software, in particular, with its nature and how developer decisions and behavior impact the quality of the product they produce. This is the domain of empirical software engineering where measurement seeks to capture attributes affecting the product, process, and resources of software development. A well-established means to study software attributes is metrics data mining. But, even though a variety of frameworks have emerged that can distill desired measures from software systems (e.g., JHawk or SonarJ), a systematic approach to collecting measures from large data sets has still eluded us. For this reason, we have developed the Java Code Tomograph (jCT), a novel framework for metrics extraction and processing. jCT offers an extensible measurement infrastructure with built-in support for the curated repositories Qualitas Corpus and Helix. With jCT, large-scale empirical studies of code within the same software system or across different software systems become feasible. In this paper, we provide an overview of jCT's main design features and discuss its operation in relation to the effectiveness of the framework.","","","10.1109/ASE.2011.6100139","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100139","","","","","","0","89","","","","","",""
"TestEra: A tool for testing Java programs using alloy specifications","Shadi Abdul Khalek; Guowei Yang; Lingming Zhang; Darko Marinov; Sarfraz Khurshid","Electrical and Computer Engineering, University of Texas at Austin, USA; Electrical and Computer Engineering, University of Texas at Austin, USA; Electrical and Computer Engineering, University of Texas at Austin, USA; Department of Computer Science, University of Illinois at Urbana-Champaign, USA; Electrical and Computer Engineering, University of Texas at Austin, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","608","611","This tool paper presents an embodiment of TestEra - a framework developed in previous work for specification-based testing of Java programs. To test a Java method, TestEra uses the method's pre-condition specification to generate test inputs and the post-condition to check correctness of outputs. TestEra supports specifications written in Alloy - a first-order, declarative language based on relations - and uses the SAT-based back-end of the Alloy tool-set for systematic generation of test suites. Each test case is a JUnit test method, which performs three key steps: (1) initialization of pre-state, i.e., creation of inputs to the method under test; (2) invocation of the method; and (3) checking the correctness of post-state, i.e., checking the method output. The tool supports visualization of inputs and outputs as object graphs for graphical illustration of method behavior. TestEra is available for download to be used as a library or as an Eclipse plug-in.","","","10.1109/ASE.2011.6100137","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100137","","Software testing and debugging","","","","9","73","","","","","",""
"SAUML: A tool for symbolic analysis of UML-RT models","Karolina Zurowska; Juergen Dingel","School of Computing, Queen's University, Kingston, ON, Canada; School of Computing, Queen's University, Kingston, ON, Canada","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","604","607","Model Driven Development (MDD) is an approach to software development built around the notion of models. One of its implementation is the IBM RSA RTE, which uses the UML-RT modeling language. In this paper we introduce the tool SAUML (Symbolic Analysis of UML-RT Models) that enhances the current practice of MDD with the analyses of UML-RT models. The implemented technique is based on symbolic execution, features modularity and supports the reuse of analysis results. The paper gives an overview of this technique and its implementation in the IBM RSA RTE tool.","","","10.1109/ASE.2011.6100136","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100136","","","","","","2","60","","","","","",""
"Decomposing feature models: language, environment, and applications","Mathieu Acher; Philippe Collet; Philippe Lahire; Robert B. France","I3S - CNRS UMR 6070, Université Nice Sophia Antipolis, France; I3S - CNRS UMR 6070, Université Nice Sophia Antipolis, France; I3S - CNRS UMR 6070, Université Nice Sophia Antipolis, France; Computer Science Department, Colorado State University, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","600","603","Variability in software product lines is often expressed through feature models (FMs). To handle the complexity of increasingly larger FMs, we propose semantically meaningful decomposition support through a slicing operator. We describe how the slicing operator is integrated into the FAMILIAR environment and how it can be combined with other operators to support complex tasks over FMs in different case studies.","","","10.1109/ASE.2011.6100135","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100135","","","","","","5","111","","","","","",""
"BEST: A symbolic testing tool for predicting multi-threaded program failures","Malay K. Ganai; Nipun Arora; Chao Wang; Aarti Gupta; Gogul Balakrishnan","NEC Labs America, Princeton, USA; Columbia University, New York, USA; NEC Labs America, Princeton, USA; NEC Labs America, Princeton, USA; NEC Labs America, Princeton, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","596","599","We present a tool BEST (Binary instrumentation-based Error-directed Symbolic Testing) for predicting concurrency violations.","","","10.1109/ASE.2011.6100134","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100134","","Software testing and debugging","","","","8","77","","","","","",""
"APIExample: An effective web search based usage example recommendation system for java APIs","Lijie Wang; Lu Fang; Leye Wang; Ge Li; Bing Xie; Fuqing Yang","Software Institute, School of Electronics Engineering and Computer Science, Peking University, Beijing 100871, China; Software Institute, School of Electronics Engineering and Computer Science, Peking University, Beijing 100871, China; Software Institute, School of Electronics Engineering and Computer Science, Peking University, Beijing 100871, China; Software Institute, School of Electronics Engineering and Computer Science, Peking University, Beijing 100871, China; Software Institute, School of Electronics Engineering and Computer Science, Peking University, Beijing 100871, China; Software Institute, School of Electronics Engineering and Computer Science, Peking University, Beijing 100871, China","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","592","595","Programmers often learn how to use an API by studying its usage examples. There are many usage examples scattered in web pages on the Internet. However, it often takes programmers much effort to find out the desired examples from a large number of web pages by web search. This paper proposes a tool named APIExample that can extract usage examples for java APIs from web pages on the Internet and recommend them to programmers. Given a java API, the tool collects its related web pages from the Internet, extracts java code snippets and their surrounding descriptive texts embedded in the pages, then assembles them into usage examples for programmers. Furthermore, in order to help programmers capture more kinds of usages of the target API by browsing fewer examples, our tool clusters and ranks the listed examples based on the target API's usage. Besides, as a practical tool, APIExample provides multiple aspects of frequently-used information about using the target API in a concise user interface with friendly user experience. Two kinds of user-interaction style, a web search portal and an Eclipse plug-in, are now both publicly available.","","","10.1109/ASE.2011.6100133","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100133","","","","","","4","150","","","","","",""
"The CORE system: Animation and functional correctness of pointer programs","Ewen Maclean; Andrew Ireland; Gudmund Grov","School of Mathematical and Computer Sciences, Heriot-Watt University, UK; School of Mathematical and Computer Sciences, Heriot-Watt University, UK; School of Informatics, University of Edinburgh, UK","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","588","591","Pointers are a powerful and widely used programming mechanism, but developing and maintaining correct pointer programs is notoriously hard. Here we describe the CORE","","","10.1109/ASE.2011.6100132","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100132","","Program verification","","","","0","44","","","","","",""
"JPF-AWT: Model checking GUI applications","Peter Mehlitz; Oksana Tkachuk; Mateusz Ujma","NASA Ames Research Center, Moffett Field, CA, USA; NASA Ames Research Center, Moffett Field, CA, USA; Department of Computer Science, University of Oxford, UK","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","584","587","Verification of Graphical User Interface (GUI) applications presents many challenges. GUI applications are open systems that are driven by user events. Verification of such applications by means of model checking therefore requires a user model in order to close the state space.","","","10.1109/ASE.2011.6100131","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100131","","Software testing and debugging","","","","10","159","","","","","",""
"Implementing efficient model validation in EMF tools","Gabor Bergmann; Abel Hegedus; Akos Horvath; Istvan Rath; Zoltan Ujhelyi; Daniel Varro","Department of Measurement and Information Systems, Budapest University of Technology and Economics, Hungary; Department of Measurement and Information Systems, Budapest University of Technology and Economics, Hungary; Department of Measurement and Information Systems, Budapest University of Technology and Economics, Hungary; Department of Measurement and Information Systems, Budapest University of Technology and Economics, Hungary; Department of Measurement and Information Systems, Budapest University of Technology and Economics, Hungary; Department of Measurement and Information Systems, Budapest University of Technology and Economics, Hungary","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","580","583","Model-driven development tools built on industry standard platforms, such as the Eclipse Modeling Framework (EMF), heavily use model queries in various use cases, such as model transformation, well-formedness constraint validation and domain-specific model execution. As these queries are executed rather frequently in interactive modeling applications, they have a significant impact on the runtime performance of the tool, and also on the end user experience. However, due to their complexity, they can be time consuming to implement and optimize on a case-by-case basis. To address these shortcomings, we developed the EMF-INCQUERY framework for defining declarative queries over EMF models and executing them effectively using a caching mechanism. In the current paper, we demonstrate how our framework can be easily integrated with other EMF tools. We describe a case study in which EMF-INCQUERY is integrated into the open source Papyrus UML environment to provide on-the-fly validation of well-formedness criteria in UML models.","","","10.1109/ASE.2011.6100130","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100130","","","","","","2","72","","","","","",""
"CloneDifferentiator: Analyzing clones by differentiation","Zhenchang Xing; Yinxing Xue; Stan Jarzabek","School of Computing, National University of Singapore, Singapore; School of Computing, National University of Singapore, Singapore; School of Computing, National University of Singapore, Singapore","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","576","579","Clone detection provides a scalable and efficient way to detect similar code fragments. But it offers limited explanation of differences of functions performed by clones and variations of control and data flows of clones. We refer to such differences as semantic differences of clones. Understanding these semantic differences is essential to correctly interpret cloning information and perform maintenance tasks on clones. Manual analysis of semantic differences of clones is complicated and error-prone. In the paper, we present our clone analysis tool, called Clone-Differentiator. Our tool automatically characterizes clones returned by a clone detector by differentiating Program Dependence Graphs (PDGs) of clones. CloneDifferentiator is able to provide a precise characterization of semantic differences of clones. It can provide an effective means of analyzing clones in a task oriented manner.","","","10.1109/ASE.2011.6100129","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100129","","","","","","5","104","","","","","",""
"iDiff: Interaction-based program differencing tool","Hoan Anh Nguyen; Tung Thanh Nguyen; Hung Viet Nguyen; Tien N. Nguyen","Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","572","575","When a software system evolves, its program entities such as classes/methods are also changed. System comprehension, maintenance, and other tasks require the detection of the changed entities between two versions. However, existing differencing tools are file-based and cannot handle well the common cases in which the methods/classes are reordered/moved or even renamed/modified. Moreover, many tools show the program changes at the text line level. In this demo, we present iDiff, a program differencing tool that is able to display the changes to classes/methods between two versions and to track the corresponding classes/methods even they were reordered/moved/renamed and/or modified. The key idea is that during software evolution, an entity could change its location, name, order, and even its internal implementation. However, its interaction with other entities would be more stable. iDiff represents a system at a version as an attributed graph, in which the nodes represent program entities, the edges represent the interactions between the nodes. Entities between two versions are matched via an incremental matching algorithm, which takes into account the similarity of interactions for matching. The differences of two versions of the entire system including its program entities are detected based on the matched entities.","","","10.1109/ASE.2011.6100128","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100128","","","","","","2","100","","","","","",""
"Automatically exploring how uncertainty impacts behavior of dynamically adaptive systems","Andres J. Ramirez; Adam C. Jensen; Betty H. C. Cheng; David B. Knoester","Department of Computer Science and Engineering, Michigan State University, East Lansing, 48824 USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, 48824 USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, 48824 USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, 48824 USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","568","571","A dynamically adaptive system (DAS) monitors itself and its execution environment to evaluate requirements satisfaction at run time. Unanticipated environmental conditions may produce sensory inputs that alter the self-assessment capabilities of a DAS in unpredictable and undesirable ways. Moreover, it is impossible for a human to know or enumerate all possible combinations of system and environmental conditions that a DAS may encounter throughout its lifetime. This paper introduces Loki, an approach for automatically discovering combinations of environmental conditions that produce requirements violations and latent behaviors in a DAS. By anticipating adverse environmental conditions that might arise at run time, Loki facilitates the identification of goals with inadequate obstacle mitigations or insufficient constraints to prevent such unwanted behaviors. We apply Loki to an autonomous vehicle system and describe several undesirable behaviors discovered.","","","10.1109/ASE.2011.6100127","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100127","","","","","","13","236","","","","","",""
"Generating essential user interface prototypes to validate requirements","Massila Kamalrudin; John Grundy","Department of Electrical and Computer Engineering, University of Auckland, Private bag 92019, 1142, New Zealand; Centre for Computing and Engineering Software Systems, Swinburne University of Technology, PO Box 218, Hawthorn, Victoria 3122, Australia","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","564","567","Requirements need to be validated at an early stage of analysis to address inconsistency and incompleteness issues. Capturing requirements usually involves natural language analysis, which is often imprecise and error prone, or translation into formal models, which are difficult for non-technical stakeholders to understand and use. Users often best understand proposed software systems from the likely user interface they will present. To this end we describe novel automated tool support for capturing requirements as Essential Use Cases and translating these into Essential User Interface low-fidelity rapid prototypes. We describe our automated tool supporting requirements capture, lo-fi user interface prototype generation and consistency management.","","","10.1109/ASE.2011.6100126","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100126","","Integrated and visual development environments","","","","3","273","","","","","",""
