Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"A Modular Testing Environment for Implementation Attacks","Lyndon Judge; Michael Cantrell; Cagil Kendir; Patrick Schaumont","Bradley Dept. of Electr. & Comput. Eng., Virginia Tech, Blacksburg, VA, USA; Bradley Dept. of Electr. & Comput. Eng., Virginia Tech, Blacksburg, VA, USA; Bradley Dept. of Electr. & Comput. Eng., Virginia Tech, Blacksburg, VA, USA; Bradley Dept. of Electr. & Comput. Eng., Virginia Tech, Blacksburg, VA, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","86","95","Implementation attacks, including side-channel, fault, and probing attacks, have received significant attention in both research and commercial communities. Successful attacks have been demonstrated against standard cryptographic algorithms implemented on a wide variety of common platforms. In order to protect against these attacks, designers must incorporate complex countermeasures into the implementation of sensitive operations. Validating the effectiveness of implementation attack countermeasures requires specialized expertise and techniques not commonly used in other types of security and functional testing. We propose a modular testing environment for use in verifying the implementation attack resistance of secure systems. The proposed environment is an open-source solution that allows implementation attack testing to be independent of the system platform, implementation details, and type of attack under evaluation. These key features make the environment suitable for use with an implementation attack security standard in which standard test procedures are published openly and used to evaluate cryptographic systems. We use the proposed test environment to demonstrate a successful side-channel attack on AES, which illustrates the practical usefulness of our design for analyzing implementation attack security. Our open-source design is available at \url{http://rijndael.ece.vt.edu/iameter}.","","","10.1109/BioMedCom.2012.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516434","Side-channel Analysis;Differential Power Analysis (DPA);Timing Analysis;Differential Fault Analysis (DFA);Security Testing","","cryptography","modular testing environment;implementation attacks;side-channel attacks;fault attacks;probing attacks;standard cryptographic algorithms;implementation attack countermeasures;attack resistance;secure systems;open-source solution;system platform;attack under evaluation;implementation attack security standard;standard test procedures;cryptographic systems;AES;analyzing implementation attack security;open-source design","","1","75","","","","","IEEE","IEEE Conferences"
"Scalable and Reusable Attack Aware Software","William Kim; Cheolmin Sky Moon; Sam Chung; Teresa Escrig; Barbara Endicott-Popovsky","Inst. of Technol., Univ. of Washington, Tacoma, WA, USA; Inst. of Technol., Univ. of Washington, Tacoma, WA, USA; Inst. of Technol., Univ. of Washington, Tacoma, WA, USA; Inst. of Technol., Univ. of Washington, Tacoma, WA, USA; Center for Inf. Assurance & Cybersecurity, Univ. of Washington Seattle, Seattle, WA, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","101","104","Developing and maintaining security software systems can be cost-prohibitive for all but the largest organizations. New requirements of hardware and software quickly outdate current security systems. Modern software architecture technology, such as Spring Framework, and the new deployment paradigm of cloud computing infrastructure services can help with the challenge of maintaining software security systems. Spring Framework allows for better reusability of our code to adapt to different input vulnerabilities and cloud computing helps to deploy quickly and easily. The application of software architectural patterns and cloud computing to the development of attack aware software improves reusability and scalability.","","","10.1109/BioMedCom.2012.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516436","Attack Aware;Web Application Security;Security Software;Secure Coding;Secure Software Design;Cloud Computing","","cloud computing;security of data;software architecture;software maintenance;software reusability","reusable attack aware software;scalable software;organizations;software architecture technology;spring framework;cloud computing infrastructure services;software security system maintainance","","1","94","","","","","IEEE","IEEE Conferences"
"Security Engineering and Modelling of Set-Top Boxes","Jose Fran. Ruiz; Andre Rein; Marcos Arjona; Antonio Ma?a; Antoine Monsifrot; Michel Morvan","Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany; Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany; Comput. Sci. Dept., Univ. of Malaga, Malaga, Spain; Comput. Sci. Dept., Univ. of Malaga, Malaga, Spain; Technicolor, Security & Content Protection Labs., Cesson-Sevigne, France; Technicolor, Security & Content Protection Labs., Cesson-Sevigne, France","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","113","122","This paper presents a security engineering process for the development of secure systems focusing on the specification and development of the Set-top Boxes. The paper describes the Set-top Box characteristics and functionalities and, using the process and its secure artefacts, models what we call a Domain Security Metamodel that defines all the security properties of that domain and implements them using Security Building Blocks. This security artefact can be used by system engineers when modelling their system model in order to fulfil its security requirements and, as a result, create a secure system that has security naturally integrated in its architecture and functionality.","","","10.1109/BioMedCom.2012.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516438","security engineering;security building blocks;security modelling","","security;set-top boxes","security engineering;set-top boxes modelling;set-top boxes specification;set-top boxes development;domain security metamodel;security building block","","2","57","","","","","IEEE","IEEE Conferences"
"Affymetrix? Mismatch (MM) Probes: Useful after All","Robert M. Flight; Abdallah M. Eteleeb; Eric C. Rouchka","Dept. of Anatomical Sci. & Neurobiol., Univ. of Louisville, Louisville, KY, USA; Dept. of Comput. Eng. & Comput. Sci., Univ. of Louisville, Louisville, KY, USA; Dept. of Comput. Eng. & Comput. Sci., Univ. of Louisville, Louisville, KY, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","6","13","Affymetrix ? GeneChip ? micro array design defines probe sets consisting of 11, 16, or 20 distinct 25 base pair (BP) probes for determining mRNA expression for a specific gene, which may be covered by one or more probe sets. Each probe has a corresponding perfect match (PM) and mismatch (MM) set. Traditional analytical techniques have either used the MM probes to determine the level of cross-hybridization or reliability of the PM probe, or have been completely ignored. Given the availability of reference genome sequences, we have reanalyzed the mapping of both PM and MM probes to reference genomes in transcript regions. Our results suggest that depending of the species of interest, 66%-93% of the PM probes can be used reliably in terms of single unique matches to the genome, while a small number of the MM probes (typically less than 1%) could be incorporated into the analysis. In addition, we have examined the mapping of PM and MM probes to five different human genome projects, resulting in approximately a 70% overlap of uniquely mapping PM probes, and a subset of 51 uniquely mapping MM probes commonly found in all five projects, 24 of which are found within annotated exonic regions. These results suggest that individual variation in transcriptome regions provides an additional complexity to micro array data analysis. Given these results, we conclude that the development of custom chip definition files (CDFs) should include MM probe sequences to provide the most effective means of transcriptome analysis of Affymetrix ? GeneChip ? arrays.","","","10.1109/BioMedCom.2012.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516421","Bioinformatics;microarray;probe set;custom definition files","","bioinformatics;genetics;genomics;lab-on-a-chip;molecular biophysics;molecular configurations;RNA","Affymetrix mismatch probes;Affymetrix GeneChip microarray design;base pair probes;mRNA expression;gene;traditional analytical techniques;cross-hybridization;reference genome sequences;transcript regions;human genome projects;annotated exonic regions;microarray data analysis;custom chip definition files;transcriptome analysis;bioinformatics","","2","51","","","","","IEEE","IEEE Conferences"
"Hybrid Multi-layered GMDH-Type Neural Network Using Principal Component-Regression Analysis and Its Application to Medical Image Diagnosis of Lung Cancer","Tadashi Kondo; Junji Ueno; Schoichiro Takao","Grad. Sch. of Health Sci., Univ. of Tokushima, Tokushima, Japan; Grad. Sch. of Health Sci., Univ. of Tokushima, Tokushima, Japan; Grad. Sch. of Health Sci., Univ. of Tokushima, Tokushima, Japan","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","20","27","In this study, hybrid multi-layered Group Method of Data Handling (GMDH)-type neural network algorithm using principal component-regression analysis is proposed and applied to the computer aided image diagnosis (CAD) of lung cancer. In the GMDH-type neural network, heuristic self-organization method, which is a kind of evolutional computation, is used to organize the neural network architecture. But, multi-co linearity occurs and prediction values become unstable. In this study, hybrid multi-layered GMDH-type neural network using principal component-regression analysis is proposed. In this algorithm, multi-co linearity does not occur and accurate prediction values are obtained. This new algorithm is applied to the medical image diagnosis of lung cancer. First, the GMDH-type neural network which recognizes the lung regions, is automatically organized using multi-detector row CT (MDCT) images of the lung, and the lung regions are recognized and extracted. Then, new another GMDH-type neural network is automatically organized using the extracted image of lung, and the candidate regions of the lung cancer is recognized and extracted. The recognition results are compared with the conventional sigmoid function neural network trained using back propagation method and it is shown that this algorithm is useful for CAD of lung cancer.","","","10.1109/BioMedCom.2012.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516423","Neural network;GMDH;Medical image;CAD","","backpropagation;computerised tomography;feature extraction;medical image processing;neural nets;patient diagnosis;principal component analysis;regression analysis","hybrid multi-layered GMDH-type neural network;principal component-regression analysis;medical image diagnosis;lung cancer;group method of data handling;computer aided image diagnosis;CAD;multidetector row CT images;MDCT images;image extraction;backpropagation","","4","129","","","","","IEEE","IEEE Conferences"
"A Process for Visualizing Disordered Molecular Data with a Case Study in Bulk Water","Nick Leaf; Kwan-Liu Ma; Cui Zhang; Giulia Galli","Dept. of Comput. Sci., Univ. of California at Davis, Davis, CA, USA; Dept. of Comput. Sci., Univ. of California at Davis, Davis, CA, USA; Dept. of Chem., Univ. of California at Davis, Davis, CA, USA; Dept. of Chem., Univ. of California at Davis, Davis, CA, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","34","42","Existing molecular visualizations do a good job of illuminating well-defined structures, but are ill-suited to visualizing subtle organization when the data is almost entirely disordered. We introduce a process to explore these subtle structures by visualizing an abstraction of the data. The process includes a quantitative verification step to mitigate the ambiguity induced by abstraction. We perform a case study using molecular dynamics simulation data of bulk water to demonstrate the efficacy of our process. The visualized abstractions show molecular behaviors which only happen amongst aggregates, and which would be occluded or indiscernible in a direct visualization. The effect is shown across multiple data sets with different temporal and thermal parameters. In conjunction with domain experts from the Chemistry department who performed the simulation, we confirm our observations using the quantitative verification step of our process.","","","10.1109/BioMedCom.2012.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516425","","","aggregates (materials);chemistry computing;data visualisation;molecular biophysics;thermal analysis","disordered molecular data visualization process;bulk water;subtle structures;quantitative verification step;molecular dynamics simulation data;molecular behaviors;aggregates;temporal parameters;thermal parameters;chemistry department","","1","31","","","","","IEEE","IEEE Conferences"
"Verification of Compartmental Epidemiological Models Using Metamorphic Testing, Model Checking and Visual Analytics","Arvind Ramanathan; Chad A. Steed; Laura L. Pullum","Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA; Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA; Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","68","73","Compartmental models in epidemiology are widely used as a means to model disease spread mechanisms and understand how one can best control the disease in case an outbreak of a widespread epidemic occurs. However, a significant challenge within the community is in the development of approaches that can be used to rigorously verify and validate these models. In this paper, we present an approach to quantify and verify the behavioral properties of compartmental epidemiological models under several common modeling scenarios including: birth/death rates and multi-host/pathogen species. We build a workflow that uses metamorphic testing, novel visualization tools and model checking to gain insights into the functionality of compartmental epidemiological models. Our initial results indicate that metamorphic testing can be used to verify the implementation of these models and provide insights into special conditions where these mathematical models may fail. The visualization front-end allows the end-user to scan through a variety of parameters commonly used in these models to elucidate the conditions under which an epidemic can occur. Furthermore, specifying these models using a process algebra allows one to automatically construct behavioral properties that can be rigorously verified using model checking. Together, our approach allows for detecting implementation errors as well as handling conditions under which compartmental epidemiological models may fail to provide insights into disease spread dynamics.","","","10.1109/BioMedCom.2012.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516431","","","data analysis;data visualisation;diseases;epidemics;formal verification;medical computing;process algebra;program testing","disease spread mechanism model;disease control;behavioral properties;compartmental epidemiological model;birth-death rate;multihost species;pathogen species;metamorphic testing;visualization tools;model checking;mathematical models;process algebra;disease spread dynamics;visual analytics","","10","110","","","","","IEEE","IEEE Conferences"
"Quantifying Uncertainty in Epidemiological Models","Sumit K. Jha; Arvind Ramanathan","Electr. Eng. & Comput. Sci. Dept., Univ. of Central Florida, Orlando, FL, USA; Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","80","85","Modern epidemiology has made use of a number of mathematical models, including ordinary differential equation (ODE) based models and agent based models (ABMs) to describe the dynamics of how a disease may spread within a population and enable the rational design of strategies for intervention that effectively contain the spread of the disease. Although such predictions are of fundamental importance in preventing the next global pandemic, there is a significant gap in trusting the outcomes/predictions solely based on such models. Hence, there is a need to develop approaches such that mathematical models can be calibrated against historical data. In addition, there is a need to develop rigorous uncertainty quantification approaches that can provide insights into when a model will fail and characterize the confidence in the (possibly multiple) model outcomes/predictions, when such retrospective analysis cannot be performed. In this paper, we outline an approach to develop uncertainty quantification approaches for epidemiological models using formal methods and model checking. By specifying the outcomes expected from a model in a suitable spatio-temporal logic, we use probabilistic model checking methods to quantify the probability with which the epidemiological model satisfies a given behavioral specification. We argue that statistical model checking methods can solve the uncertainty quantification problem for complex epidemiological models.","","","10.1109/BioMedCom.2012.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516433","","Mathematical model;Diseases;Biological system modeling;Data models;Uncertainty;Computational modeling;Sociology","differential equations;diseases;epidemics;formal specification;formal verification;medical computing;multi-agent systems;probability;temporal logic","epidemiological model;mathematical model;ordinary differential equation;ODE;agent based model;ABM;disease;global pandemic;uncertainty quantification approach;formal method;spatio-temporal logic;probabilistic model checking method;behavioral specification;statistical model checking method","","5","153","","","","","IEEE","IEEE Conferences"
"READ -- A Resolution and Abduction Based Approach for Policy Comparison in Organizational Collaboration","Xiaofeng Xia","Heidelberg Inst. for Theor. Studies (HITS), Heidelberg, Germany","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","105","112","The policy compliance problem is one of the categories of inconsistency problems existing between access control policies. One of the ways to cope with it is called policy comparison. In this paper we develop and use our approach to perform policy comparison, i.e. when newly specified access control policies for the resources are provided to be compared with certain original policy, we are able to ensure that the noncompliance problem between these newly specified policies and the original policies on the resources will be found. In this paper we propose the READ (Resolution and Abduction based) algorithm to be an approach of finding policy noncompliance. Our approach is based on the resolution and abduction work for Data log rules, and the evaluation of compliance is performed through set implication by Satisfiability Modulo Theories (SMT) Z3 prover. We will illustrate the implementation of READ algorithm with two examples from existing work and one example based on role based access control model.","","","10.1109/BioMedCom.2012.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516437","access control;collaboration;policy comparison;resolution;abduction","","authorisation;computability;DATALOG","READ algorithm;resolution and abduction based approach;policy comparison;organizational collaboration;policy compliance problem;inconsistency problem;access control policy;policy noncompliance problem;Datalog rules;compliance evaluation;satisfiability modulo theories;SMT Z3 prover;role based access control model","","0","22","","","","","IEEE","IEEE Conferences"
"Introducing Security Building Block Models","Andre Rein; Carsten Rudolph; Jose Fran. Ruiz; Marcos Arjona","Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany; Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany; Comput. Sci. Dept., Univ. of Malaga, Malaga, Spain; Comput. Sci. Dept., Univ. of Malaga, Malaga, Spain","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","132","139","In today's software development process, security related design decisions are rarely made early in the overall process. Even if security is considered early, this means that in most cases a more-or-less encompassing security requirement analyses is made; Based on this analysis best-practices, ad-hoc design decisions or individual expertise is used to integrate security during the development process or after weaknesses are found after the deployment. This paper introduces Security Building Block Models which are used to build security related components, namely Security Building Blocks. These Security Building Blocks represent concrete security solutions, so called Security Properties, introduced in other publications of the SecFutur project [1]. The goal of this approach is to provide already defined and tested security related software components, which can be used early in the overall development process, to support security-design-decision already while modeling the software-system. The paper shortly describes this new Security Engineering Process with its requirement analysis and definition of Security Properties and how the Security Building Block Model fits into this approach. Additionally the Security Building Block Model is presented in detail. All artifacts and relationships of the model are described. Short examples finish up the paper to show the creation of the Security Building Blocks and their interactions with other software components.","","","10.1109/BioMedCom.2012.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516441","security engineering;security models and meta-models;security building blocks;integration of components component;modelling","","decision making;formal verification;program testing;security of data","security building block models;software development process;security related design decisions;security requirement analyses;ad-hoc design decisions;individual expertise;security properties;SecFutur project;tested security related software components;software system modeling;security engineering process","","1","494","","","","","IEEE","IEEE Conferences"
"2TAC: Distributed Access Control Architecture for "Bring Your Own Device" Security","Sean Chung; Sam Chung; Teresa Escrig; Yan Bai; Barbara Endicott-Popovsky","Inst. of Technol., Univ. of Washington Tacoma, Tacoma, WA, USA; Inst. of Technol., Univ. of Washington Tacoma, Tacoma, WA, USA; Inst. of Technol., Univ. of Washington Tacoma, Tacoma, WA, USA; Inst. of Technol., Univ. of Washington Tacoma, Tacoma, WA, USA; Center for Inf. Assurance & Cybersecurity, Univ. of Washington Seattle, Seattle, WA, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","123","126","Mobile devices, specifically smartphones, have become ubiquitous. For this reason, businesses are starting to develop Bring Your Own Device policies to allow their employees to use their devices in the workplace. However, due to emerging attacks and limitations in device resources, it is difficult to trust these devices with access to critical proprietary information. To mitigate this problem we propose a novel architecture called 2-Tier Access Control (2TAC), which uses double layer access control along with device security profiles, anti-virus/malware scanners, and social networking.","","","10.1109/BioMedCom.2012.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516439","security;smartphones;smart devices;mobile security;smartphone security;cloud computing;mobile devices;access control;bring your own device (BYOD);access control","","authorisation;smart phones","distributed access control architecture;bring your own device security;mobile devices;smartphones;ubiquitous;critical proprietary information access;2-Tier Access Control;2TAC;double layer access control;device security profiles;anti-virus;malware scanners;social networking","","8","577","","","","","IEEE","IEEE Conferences"
"Security Engineering Based on Structured Formal Reasoning","Andreas Fuchs; Carsten Rudolph","Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany; Fraunhofer Inst. for Secure Inf. Technol., Darmstadt, Germany","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","145","152","Security by Design and Secure Engineering are among the most pressing challenges in IT Security research and practice. Increased attacker potential and dependence on IT-Systems in economy and in critical infrastructures cause a higher demand in securely engineered systems and thus in new approaches and methodologies. This paper introduces a consistent methodology for designing secure systems during the specification phase. The Security Modeling Framework SeMF serves as basis for its security vocabulary. We extend SeMF by the concept of SeMF Building Blocks SeBBs as reasoning tool and provide a security design process utilizing them as refinement artifacts. This process guides the decision making during the system specification phase focused on the security aspects and integrates with refinement driven functional engineering processes. Our approach further results in a security design documentation and residual assumptions that can serve as a basis for risk assessment, code review, and organizational security means during deployment.","","","10.1109/BioMedCom.2012.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516443","security by design;security engineering;formal methods;formal languages","","formal specification;functional programming;reasoning about programs;risk analysis;security of data","security engineering;structured formal reasoning;security by design;secure engineering;IT security research;attacker potential;IT system;economy;critical infrastructure;secure system design;Security Modeling Framework;security vocabulary;SeMF building blocks;SeBB;reasoning tool;refinement artifact;decision making;system specification;security aspect;refinement driven functional engineering process;security design documentation;residual assumption;risk assessment;code review;organizational security","","0","108","","","","","IEEE","IEEE Conferences"
"Performance Analyses of a Parallel Verlet Neighbor List Algorithm for GPU-Optimized MD Simulations","Andrew J. Proctor; Tyson J. Lipscomb; Anqi Zou; Joshua A. Anderson; Samuel S. Cho","Dept. of Comput. Sci., Wake Forest Univ., Winston-Salem, NC, USA; Dept. of Comput. Sci., Wake Forest Univ., Winston-Salem, NC, USA; Dept. of Comput. Sci., Wake Forest Univ., Winston-Salem, NC, USA; Dept. of Chem. Eng., Univ. of Michigan, Ann Arbor, MI, USA; Depts. of Phys. & Comput. Sci., Wake Forest Univ., Winston-Salem, NC, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","14","19","Molecular dynamics (MD) simulations provide a molecular-resolution physical description of the folding and assembly processes, but the size and the timescales of simulations are limited because the underlying algorithm is computationally demanding. We recently introduced a parallel neighbor list algorithm that was specifically optimized for MD simulations on GPUs. In our present study, we analyze the performance of the algorithm in our MD simulation software, and we observe that the major of the overall execution time is spent performing the force calculations and the evaluation of the neighbor list and pair lists. The overall speedup of the GPU-optimized MD simulations as compared to the CPU-optimized version is N-dependent and ~30x for the full 70s ribosome (10,219 beads). The pair and neighbor list evaluations have performance speedups of ~25x and ~55x, respectively. We then make direct How biomolecules fold and assemble into well-defined structures that correspond to cellular functions is a fundamental problem in biophysics with direct biomedical application because some functions lead to diseases such as Alzheimer's, Parkinson's, and cancer. Molecular dynamics (MD) simulations provide a molecular-resolution physical description of the folding and assembly processes, but the computational demands of the algorithms restrict the size and the timescales one can simulate. In a recent study, we introduced a parallel neighbor list algorithm that was specifically optimized for MD simulations on GPUs. We now analyze the performance of our MD simulation code that incorporates the algorithm, and we observe that the force calculations and the evaluation of the neighbor list and pair lists constitutes a majority of the overall execution time. The overall speedup of the GPU-optimized MD simulations as compared to the CPU-optimized version is N-dependent and ~30x for the full 70s ribosome (10,219 beads). The pair and neighbor list evaluations have performance speedups of ~25x...","","","10.1109/BioMedCom.2012.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516422","","","cellular biophysics;diseases;graphics processing units;medical computing;molecular biophysics;molecular dynamics method;multiprocessing systems","parallel Verlet neighbor list algorithm;GPU-optimized MD simulations;biomolecules fold;cellular functions;biophysics;direct biomedical application;molecular dynamics simulations;MD simulations;molecular-resolution physical description;assembly processes;folding processes;computational demands;MD simulation code;force calculations;CPU-optimized version;SOP model;HOOMD simulation code;particle dynamics simulation package","","1","124","","","","","IEEE","IEEE Conferences"
"Emerging Infectious Disease: A Computational Multi-agent Model","Hong Qin; Alexander Shapiro; Li Yang","Univ. of Tennessee at Chattanooga, Chattanooga, TN, USA; Univ. of Tennessee at Chattanooga, Chattanooga, TN, USA; Univ. of Tennessee at Chattanooga, Chattanooga, TN, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","28","33","In today's global society there exists a need to understand and predict the behavior of vector-borne diseases. With globalization, human groups tend to interact with other groups that can have one or multiple types of viruses. Currently, there are many mathematical models for studying patterns of emerging infectious diseases. These mathematical models are based on differential equations and can become unmanageable due to many parameters involved. With this in mind, we design and implement a simple spatial computational multi-agent model that can be used as a tool to analyze and predict the behavior of emerging infectious diseases. Our novel computational agent-based model integrated with evolution and phylogeny to simulate and understand emerging infectious diseases, which enables us to prevent or control outbreaks of infectious diseases in an effective and timely manner. Our multi-agent spatial-temporal model contributes to epidemiology, public health and computational simulation in several folds: First, our simulation offers an effective way to train public policy decision-makers who will respond to emergent outbreaks of infectious diseases in an appropriately and timely manner. Second, our model has the potential to aid real-time disease control and decision making. Third, our model uniquely takes evolution of viruses into account. Evolution of viruses means their genomic DNA/RNA sequence can mutate and compete for subpopulations of hosts (human, birds/pets). Our implementation provides graphical representation of the results by conducting a set of experiments under various settings.","","","10.1109/BioMedCom.2012.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516424","multi-agent systems;modeling","Viruses (medical);Mathematical model;Computational modeling;Unified modeling language;Infectious diseases;Multi-agent systems","decision making;differential equations;diseases;DNA;medical computing;microorganisms;multi-agent systems;RNA","infectious disease;vector-borne disease;globalization;virus;mathematical model;differential equation;spatial computational multiagent model;phylogeny;epidemiology;public health;computational simulation;disease control;decision making;genomic DNA-RNA sequence","","0","224","","","","","IEEE","IEEE Conferences"
"Identifying future field accesses in exhaustive state space traversal","Pavel Parizek; Pavel Parizek; Ondrej Lhotak","David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","93","102","One popular approach to detect errors in multi-threaded programs is to systematically explore all possible interleavings. A common algorithmic strategy is to construct the program state space on-the-fly and perform thread scheduling choices at any instruction that could have effects visible to other threads. Existing tools do not look ahead in the code to be executed, and thus their decisions are too conservative. They create unnecessary thread scheduling choices at instructions that do not actually influence other threads, which implies exploring exponentially greater numbers of interleavings. In this paper we describe how information about field accesses that may occur in the future can be used to identify and eliminate unnecessary thread choices. This reduces the number of states that must be processed to explore all possible behaviors and therefore improves the performance of exhaustive state space traversal. We have applied this technique to Java PathFinder, using the WALA library for static analysis. Experiments on several Java programs show big performance gains. In particular, it is now possible to check with Java PathFinder more complex programs than before in reasonable time.","","","10.1109/ASE.2011.6100154","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100154","","Program semantics","","","","6","71","","","","","",""
"Prioritizing tests for fault localization through ambiguity group reduction","Alberto Gonzalez-Sanchez; Rui Abreu; Hans-Gerhard Gross; Arjan J. C. van Gemund","Delft University of Technology, Software Technology Department, Mekelweg 4, 2628 CD, The Netherlands; University of Porto, Departament of Informatics Engineering, Rua Dr. Roberto Frias, 4200-465, Portugal; Delft University of Technology, Software Technology Department, Mekelweg 4, 2628 CD, The Netherlands; Delft University of Technology, Software Technology Department, Mekelweg 4, 2628 CD, The Netherlands","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","83","92","In practically all development processes, regression tests are used to detect the presence of faults after a modification. If faults are detected, a fault localization algorithm can be used to reduce the manual inspection cost. However, while using test case prioritization to enhance the rate of fault detection of the test suite (e.g., statement coverage), the diagnostic information gain per test is not optimal, which results in needless inspection cost during diagnosis. We present RAPTOR, a test prioritization algorithm for fault localization, based on reducing the similarity between statement execution patterns as the testing progresses. Unlike previous diagnostic prioritization algorithms, RAPTOR does not require false negative information, and is much less complex. Experimental results from the Software Infrastructure Repository's benchmarks show that RAPTOR is the best technique under realistic conditions, with average cost reductions of 40% with respect to the next best technique, with negligible impact on fault detection capability.","","","10.1109/ASE.2011.6100153","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100153","","Software testing and debugging","","","","12","177","","","","","",""
"Generating program inputs for database application testing","Kai Pan; Xintao Wu; Tao Xie","University of North Carolina at Charlotte, USA; University of North Carolina at Charlotte, USA; North Carolina State University, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","73","82","Testing is essential for quality assurance of database applications. Achieving high code coverage of the database application is important in testing. In practice, there may exist a copy of live databases that can be used for database application testing. Using an existing database state is desirable since it tends to be representative of real-world objects' characteristics, helping detect faults that could cause failures in real-world settings. However, to cover a specific program code portion (e.g., block), appropriate program inputs also need to be generated for the given existing database state. To address this issue, in this paper, we propose a novel approach that generates program inputs for achieving high code coverage of a database application, given an existing database state. Our approach uses symbolic execution to track how program inputs are transformed before appearing in the executed SQL queries and how the constraints on query results affect the application's execution. One significant challenge in our problem context is the gap between program-input constraints derived from the program and from the given existing database state; satisfying both types of constraints is needed to cover a specific program code portion. Our approach includes novel query formulation to bridge this gap. Our approach is loosely integrated into Pex, a state-of-the-art white-box testing tool for .NET from Microsoft Research. Empirical evaluations on two real database applications show that our approach assists Pex to generate program inputs that achieve higher code coverage than the program inputs generated by Pex without our approach's assistance.","","","10.1109/ASE.2011.6100152","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100152","","Software testing and debugging","","","","18","157","","","","","",""
